Type,LongestShell,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight,Rings
M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7
M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7
M,0.55,0.43,0.18,0.8265,0.4405,0.159,0.225,10
M,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11
I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
I,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8
F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11
M,0.645,0.52,0.175,1.636,0.779,0.342,0.432,11
I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11
F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8
F,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13
F,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,12
F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11
M,0.66,0.51,0.18,1.261,0.5,0.2335,0.3389999999999999,10
I,0.495,0.38,0.145,0.515,0.175,0.098,0.212,13
I,0.385,0.28,0.085,0.2175,0.0969999999999999,0.038,0.067,8
F,0.665,0.525,0.18,1.5785,0.6779999999999999,0.2289999999999999,0.456,14
M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7
M,0.425,0.35,0.105,0.3929999999999999,0.13,0.063,0.165,9
F,0.52,0.41,0.16,0.7120000000000001,0.2845,0.153,0.225,10
F,0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135,8
M,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,11
I,0.53,0.42,0.13,0.6579999999999999,0.296,0.1245,0.198,8
F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
I,0.45,0.355,0.11,0.4585,0.1939999999999999,0.067,0.14,8
M,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9
I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7
I,0.51,0.405,0.12,0.61,0.2289999999999999,0.131,0.235,11
F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7
I,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095,8
M,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
M,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10
F,0.72,0.565,0.17,1.6130000000000002,0.723,0.3255,0.4945,12
F,0.695,0.565,0.19,1.7635,0.7465,0.3989999999999999,0.4975,11
F,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,13
I,0.26,0.205,0.07,0.0969999999999999,0.0415,0.019,0.0305,4
F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11
F,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,12
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
I,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10
M,0.485,0.39,0.12,0.599,0.251,0.1345,0.1689999999999999,8
M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
M,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10
M,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,16
I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9
I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8
