species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Dream,55.8,19.8,207,4000,MALE
Gentoo,Biscoe,49.5,16.1,224,5650,MALE
Chinstrap,Dream,50.2,18.7,198,3775,FEMALE
Gentoo,Biscoe,47.8,15.0,215,5650,MALE
Gentoo,Biscoe,43.3,14.0,208,4575,FEMALE
Adelie,Dream,37.0,16.5,185,3400,FEMALE
Gentoo,Biscoe,46.5,14.4,217,4900,FEMALE
Adelie,Dream,33.1,16.1,178,2900,FEMALE
Adelie,Dream,37.8,18.1,193,3750,MALE
Adelie,Dream,40.9,18.9,184,3900,MALE
Gentoo,Biscoe,48.1,15.1,209,5500,MALE
Gentoo,Biscoe,44.4,17.3,219,5250,MALE
Adelie,Torgersen,38.9,17.8,181,3625,FEMALE
Gentoo,Biscoe,43.4,14.4,218,4600,FEMALE
Chinstrap,Dream,51.3,18.2,197,3750,MALE
Gentoo,Biscoe,46.8,16.1,215,5500,MALE
Gentoo,Biscoe,47.2,13.7,214,4925,FEMALE
Chinstrap,Dream,50.6,19.4,193,3800,MALE
Gentoo,Biscoe,50.4,15.7,222,5750,MALE
Gentoo,Biscoe,49.4,15.8,216,4925,MALE
Gentoo,Biscoe,49.8,15.9,229,5950,MALE
Gentoo,Biscoe,43.6,13.9,217,4900,FEMALE
Gentoo,Biscoe,44.9,13.8,212,4750,FEMALE
Gentoo,Biscoe,46.1,15.1,215,5100,MALE
Adelie,Torgersen,42.9,17.6,196,4700,MALE
Adelie,Torgersen,38.6,21.2,191,3800,MALE
Gentoo,Biscoe,49.8,16.8,230,5700,MALE
Chinstrap,Dream,48.1,16.4,199,3325,FEMALE
Adelie,Torgersen,42.1,19.1,195,4000,MALE
Gentoo,Biscoe,59.6,17.0,230,6050,MALE
Adelie,Torgersen,45.8,18.9,197,4150,MALE
Chinstrap,Dream,52.8,20.0,205,4550,MALE
Gentoo,Biscoe,45.5,14.5,212,4750,FEMALE
Chinstrap,Dream,52.0,18.1,201,4050,MALE
Chinstrap,Dream,50.5,18.4,200,3400,FEMALE
Gentoo,Biscoe,45.3,13.7,210,4300,FEMALE
Adelie,Torgersen,46.0,21.5,194,4200,MALE
Gentoo,Biscoe,49.1,14.8,220,5150,FEMALE
Gentoo,Biscoe,50.0,15.3,220,5550,MALE
Gentoo,Biscoe,48.4,14.6,213,5850,MALE
Chinstrap,Dream,46.1,18.2,178,3250,FEMALE
Adelie,Torgersen,36.2,17.2,187,3150,FEMALE
Adelie,Torgersen,33.5,19.0,190,3600,FEMALE
Gentoo,Biscoe,48.4,14.4,203,4625,FEMALE
Adelie,Biscoe,41.6,18.0,192,3950,MALE
Chinstrap,Dream,51.9,19.5,206,3950,MALE
Gentoo,Biscoe,52.2,17.1,228,5400,MALE
Gentoo,Biscoe,42.7,13.7,208,3950,FEMALE
Adelie,Torgersen,38.5,17.9,190,3325,FEMALE
Adelie,Torgersen,37.3,20.5,199,3775,MALE
